time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002867,0.4384,-0.0379,-0.4329,0.617
0.003260,0.4378,-0.0600,-0.1300,0.461
0.009710,0.2942,-0.0678,0.1228,0.326
0.012959,0.1944,-0.0763,0.2501,0.326
0.018671,0.1904,-0.0616,0.2670,0.334
0.024163,0.2053,-0.0572,0.1555,0.264
0.027943,0.1869,-0.0481,0.0498,0.199
0.034863,0.1403,-0.0201,-0.0124,0.142
0.038019,0.0754,0.0316,-0.0123,0.083
0.043128,0.0203,0.0829,0.1066,0.137
0.048418,-0.0061,0.0815,0.1058,0.134
0.053747,-0.0089,0.0467,0.0764,0.090
0.058010,-0.0217,-0.0022,0.1233,0.125
0.063892,-0.0158,-0.0175,0.0130,0.027
0.070883,0.0043,-0.0467,-0.1296,0.138
0.073583,0.0198,-0.0325,-0.1428,0.148
0.077953,0.0163,-0.0133,-0.1083,0.110
0.087281,0.0321,0.0249,-0.0266,0.049
0.088533,0.0571,0.0487,0.0211,0.078
0.101812,0.0628,0.0485,0.0637,0.102
0.102370,0.0970,0.0292,0.1154,0.154
0.105162,0.1164,0.0195,0.1192,0.168
0.109199,0.1307,-0.0140,0.1325,0.187
0.113753,0.1258,-0.0332,0.1219,0.178
0.119057,0.1301,-0.0429,0.0876,0.163
0.123532,0.1152,-0.0430,0.0489,0.132
0.128202,0.1002,-0.0479,-0.0037,0.111
0.134430,0.0902,-0.0337,-0.0512,0.109
0.138360,0.0805,-0.0432,-0.0793,0.121
0.142834,0.0663,-0.0382,-0.0976,0.124
0.149641,0.0572,-0.0473,-0.1111,0.134
0.154184,0.0532,-0.0325,-0.1054,0.122
0.158186,0.0448,-0.0366,-0.0712,0.092
0.163770,0.0413,-0.0359,-0.0089,0.055
0.167863,0.0380,-0.0354,0.0292,0.060
0.173810,0.0346,-0.0351,0.0717,0.087
0.179325,0.0453,-0.0160,0.1044,0.115
0.188618,0.0604,-0.0116,0.1035,0.120
0.189230,0.0752,-0.0168,0.1027,0.128
0.200537,0.0943,0.0015,0.0734,0.119
0.200946,0.0846,-0.0136,0.0633,0.106
0.205307,0.0985,0.0000,0.0057,0.099
0.208329,0.0981,-0.0007,-0.0085,0.098
0.213889,0.0931,0.0083,-0.0370,0.101
