time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006099,-0.0069,0.0245,-0.3155,0.316
0.006909,-0.0518,0.0043,-0.3036,0.308
0.007427,-0.0775,0.0156,-0.2729,0.284
0.007825,-0.1173,-0.0225,-0.2829,0.307
0.011843,-0.1190,0.0044,-0.2857,0.310
0.021334,-0.0757,0.0031,-0.2863,0.296
0.022228,0.0050,0.0475,-0.3012,0.305
0.026202,0.0254,0.0326,-0.2922,0.295
0.038737,0.0575,0.0967,-0.2811,0.303
0.039780,0.0157,0.1320,-0.2225,0.259
0.040306,0.0502,0.1671,-0.1432,0.226
0.044130,-0.0251,0.1853,-0.0716,0.200
0.049715,-0.0691,0.2222,0.0209,0.234
0.053547,-0.0703,0.2490,0.0629,0.266
0.059556,-0.0670,0.2160,0.0951,0.245
0.065384,-0.0473,0.2020,0.0867,0.225
0.068127,-0.0017,0.1570,0.0547,0.166
0.073926,0.0316,0.1171,0.0373,0.127
0.078448,0.1144,0.0797,0.0438,0.146
0.083100,0.1681,0.0115,0.0432,0.174
0.087814,0.1858,0.0174,0.0331,0.189
0.091829,0.1913,-0.0150,0.0160,0.193
0.109969,0.1492,-0.0684,-0.0033,0.164
0.111073,0.1476,-0.0644,-0.0486,0.168
0.111788,0.1224,-0.1008,-0.1006,0.188
0.112370,0.1282,-0.0868,-0.1806,0.238
0.115806,0.1055,-0.1296,-0.2055,0.265
0.120677,0.0878,-0.1313,-0.2255,0.275
0.125866,0.0393,-0.0638,-0.2098,0.223
0.131949,-0.0280,-0.0369,-0.1824,0.188
0.135944,-0.0498,0.0305,-0.1172,0.131
0.140175,-0.0787,0.0617,-0.0621,0.118
0.144674,-0.0505,0.0760,0.0187,0.093
0.150217,-0.0699,0.1066,0.0966,0.160
0.154219,-0.0725,0.0487,0.1809,0.201
0.160506,-0.1153,0.1022,0.2456,0.290
0.165536,-0.1125,0.0931,0.2434,0.284
0.168859,-0.0880,0.0717,0.2318,0.258
0.173244,-0.0470,0.0881,0.1990,0.223
0.177519,0.0484,0.0779,0.1569,0.182
0.181642,0.0672,0.0558,0.0820,0.120
0.187932,0.1002,-0.0115,-0.0184,0.103
0.192840,0.0927,-0.0355,-0.1013,0.142
0.199437,0.1517,-0.0449,-0.1812,0.241
0.202439,0.1816,-0.0231,-0.2534,0.313
0.206074,0.2373,-0.0225,-0.3250,0.403
0.212316,0.2428,-0.0382,-0.3557,0.432
0.218319,0.2032,-0.0109,-0.3411,0.397
0.220123,0.1520,0.0520,-0.2887,0.330
0.224761,0.0563,0.0407,-0.2462,0.256
0.230580,0.0540,0.0864,-0.1732,0.201
0.234353,0.0209,0.0462,-0.1151,0.126
0.238373,0.0546,0.0538,-0.0978,0.124
0.242807,0.0501,0.0328,-0.0996,0.116
0.249553,0.1074,-0.0093,-0.0730,0.130
0.252929,0.0954,-0.0416,-0.0395,0.111
0.257910,0.0669,-0.0189,-0.0038,0.070
0.263207,0.0935,-0.0109,0.0410,0.103
0.267625,0.0558,-0.0364,0.1163,0.134
0.272195,0.0259,-0.0479,0.1578,0.167
0.278107,0.0204,-0.0383,0.1040,0.113
0.283081,0.0842,-0.0577,0.0673,0.122
0.287689,0.1266,-0.0556,-0.0595,0.150
0.290956,0.1669,-0.0321,-0.1449,0.223
0.297305,0.1863,0.0151,-0.1965,0.271
0.300661,0.1752,-0.0119,-0.1481,0.230
0.305901,0.1882,-0.0175,-0.1523,0.243
0.310137,0.2513,-0.0210,-0.1113,0.276
0.322320,0.2641,0.0488,-0.1086,0.290
0.323448,0.2795,0.0345,-0.1107,0.303
0.325219,0.3234,0.0011,-0.1103,0.342
0.329134,0.3317,0.0484,-0.1432,0.365
0.333836,0.3712,0.0003,-0.1545,0.402
0.338547,0.3893,0.0168,-0.1800,0.429
0.345635,0.3470,0.0100,-0.2413,0.423
0.348252,-0.2979,-0.1939,-2.1462,2.175
0.352570,-2.3251,-0.1320,-3.2624,4.008
0.357515,-0.3152,0.0413,-0.4680,0.566
0.362625,0.1839,0.5816,0.8677,1.061
0.367977,-0.7283,0.6419,0.8893,1.317
0.371080,-0.7216,0.2031,0.4834,0.892
0.376570,-0.2041,-0.0775,0.0547,0.225
0.381936,0.3191,-0.1397,-0.0856,0.359
0.387731,0.6840,-0.0947,-0.1061,0.699
0.391346,0.8542,-0.0855,-0.1360,0.869
0.396339,0.7078,-0.0547,-0.1967,0.737
0.400634,0.2046,-0.0049,-0.2665,0.336
0.404793,-0.2329,0.0422,-0.0959,0.255
0.409526,-0.3852,-0.0868,0.1684,0.429
0.414584,-0.3852,-0.1532,0.1766,0.451
0.420643,-0.3353,-0.1553,0.0805,0.378
0.424000,-0.1596,-0.1724,0.1157,0.262
0.430688,0.0391,-0.2214,0.2007,0.301
0.433269,0.1019,-0.0030,0.3064,0.323
0.439141,0.3195,-0.1605,0.1288,0.380
0.441981,0.3793,-0.0378,0.1804,0.422
0.447552,-0.0402,1.1807,-1.5929,1.983
0.451711,-0.6661,2.5518,-2.8259,3.865
0.456807,-0.2773,1.3928,-1.2143,1.869
0.463611,0.0699,0.1441,-0.1076,0.193
0.466224,0.1690,-0.4239,0.5534,0.717
0.471618,0.1580,-0.5650,0.9220,1.093
0.478500,0.1597,-0.4329,0.9343,1.042
0.480982,0.0751,-0.1457,0.6096,0.631
0.485546,-0.0728,0.1039,0.1831,0.223
0.490376,-0.2664,0.2643,-0.1426,0.401
0.494808,-0.4904,0.2484,-0.3495,0.651
0.500993,-0.4667,0.1975,-0.4339,0.667
0.506025,-0.3753,0.0122,-0.4607,0.594
0.511675,-0.1935,-0.1258,-0.4447,0.501
0.514290,-0.1095,-0.3311,-0.4171,0.544
0.518601,-0.0184,-0.3804,-0.3612,0.525
0.523861,0.0338,-0.4424,0.0366,0.445
0.533512,0.1778,-0.2497,0.2621,0.403
0.534823,0.2573,-0.1973,0.5356,0.626
0.538426,0.0782,-0.3475,0.7925,0.869
