time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001481,-0.0153,0.0208,-0.0901,0.094
0.004606,-0.0533,0.0159,-0.1264,0.138
0.009243,-0.0482,0.0016,-0.1766,0.183
0.014150,-0.0241,-0.0174,-0.1642,0.167
0.020175,-0.0145,-0.0315,-0.1282,0.133
0.024306,0.0093,-0.0027,-0.1119,0.112
0.029491,0.0186,0.0115,-0.1529,0.154
0.036018,0.0088,0.0067,-0.2556,0.256
0.039636,0.0324,0.0209,-0.3291,0.331
0.044861,0.0510,0.0254,-0.3168,0.322
0.049240,0.0314,0.0347,-0.2858,0.290
0.054448,0.0262,0.0438,-0.3220,0.326
0.059472,-0.0074,0.0337,-0.3864,0.388
0.064265,-0.0123,0.0333,-0.3505,0.352
0.069851,-0.0218,0.0280,-0.2863,0.289
0.076453,-0.0503,0.0276,-0.2556,0.262
0.079320,-0.1023,0.0414,-0.2581,0.281
0.096268,-0.1301,0.0217,-0.3074,0.334
0.096658,-0.0958,0.0354,-0.2085,0.232
0.096895,-0.0761,0.0396,-0.1006,0.132
0.105123,-0.0281,0.0391,-0.1029,0.114
0.105481,0.0148,0.0291,-0.0908,0.096
0.110038,-0.0187,0.0430,-0.0358,0.059
0.114754,-0.0424,0.0473,-0.0051,0.064
0.119158,-0.0231,0.0469,0.0108,0.053
0.124711,-0.0040,0.0559,-0.0259,0.062
0.129180,0.0291,0.0554,-0.0721,0.095
0.135478,0.0288,0.0406,-0.0656,0.082
0.139933,0.0189,0.0402,-0.0592,0.074
0.144497,0.0329,0.0493,-0.0432,0.073
0.149297,0.0325,0.0393,0.0105,0.052
0.155633,0.0273,0.0674,0.0399,0.083
0.159522,0.0317,0.0809,0.0359,0.094
0.164423,0.0123,0.1087,0.0131,0.110
0.169333,-0.0212,0.1219,-0.0000,0.124
0.174846,-0.0449,0.0922,-0.0226,0.105
0.179618,-0.0446,0.0627,-0.0736,0.106
0.188725,0.0174,0.0713,-0.1002,0.124
0.190668,0.0266,0.0705,-0.0789,0.109
0.203463,0.0262,0.0458,-0.0437,0.069
0.203827,0.0211,0.0213,0.0195,0.036
0.209235,0.0113,0.0064,0.0393,0.041
0.210768,0.0300,-0.0035,0.0444,0.054
0.215858,0.0343,-0.0229,0.1015,0.110
0.220197,0.0149,-0.0041,0.1200,0.121
0.225434,0.0288,0.0050,0.1525,0.155
0.230666,0.0189,-0.0143,0.0898,0.093
0.237248,0.0328,-0.0049,0.0137,0.036
0.241327,0.0324,0.0045,0.0479,0.058
0.245272,0.0177,-0.0051,0.1153,0.117
0.250431,0.0364,-0.0099,0.1920,0.196
0.254935,0.0407,-0.0288,0.1969,0.203
0.261167,0.0355,-0.0191,0.1782,0.183
0.264832,0.0541,-0.0379,0.2023,0.213
0.269876,0.0630,-0.0470,0.2216,0.235
0.275135,0.0339,-0.0560,0.1883,0.199
0.279908,0.0477,-0.0506,0.2218,0.232
0.288582,0.0710,-0.0356,0.2168,0.231
0.290026,0.0655,-0.0255,0.1927,0.205
0.295443,0.0648,-0.0059,0.1781,0.190
0.299806,0.0546,0.0087,0.1635,0.173
