time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001140,-0.1060,0.0166,-0.0107,0.108
0.001839,-0.0389,0.0299,-0.0469,0.068
0.002329,-0.0365,0.0313,-0.0353,0.060
0.006726,-0.0056,0.0067,-0.0523,0.053
0.011694,0.0416,0.0155,-0.0598,0.074
0.023201,0.0410,0.0315,-0.0362,0.063
0.024056,0.0047,-0.0096,-0.0200,0.023
0.025619,-0.0052,0.0019,-0.0040,0.007
0.038952,-0.0150,0.0276,0.0189,0.037
0.039618,-0.0580,0.0269,-0.0345,0.073
0.040088,-0.0555,0.0427,-0.0518,0.087
0.045829,-0.0198,0.0300,-0.0333,0.049
0.049785,0.0085,-0.0016,-0.0338,0.035
0.054078,0.0557,-0.0139,0.0063,0.058
0.059428,0.1215,0.0549,-0.0109,0.134
0.063414,0.1227,0.0115,-0.0349,0.128
0.070178,0.1238,0.0017,-0.0612,0.138
0.074033,0.1249,-0.0057,-0.0590,0.138
0.090103,0.0736,-0.0414,-0.0546,0.101
0.090927,0.0655,-0.0792,-0.0742,0.127
0.091435,0.0100,-0.0313,-0.0840,0.090
0.092485,-0.0165,-0.0645,-0.0555,0.087
0.097071,-0.0498,-0.0382,0.0204,0.066
0.101916,-0.0615,-0.0147,0.0647,0.091
0.106745,-0.0779,-0.0746,0.0565,0.122
0.116768,-0.0538,-0.0629,0.0365,0.090
0.117957,-0.0512,-0.0490,0.0166,0.073
0.121877,0.0558,-0.0566,0.0087,0.080
0.125283,0.1002,-0.0663,-0.0015,0.120
0.129722,0.0800,-0.0093,-0.0259,0.085
0.134010,0.0482,0.0023,-0.0361,0.060
0.139072,0.0545,0.0257,-0.0605,0.085
0.145677,0.0583,0.0419,-0.0563,0.091
0.150326,0.0361,0.0462,-0.0212,0.062
0.154577,0.0093,0.0625,0.0233,0.067
0.159018,-0.0195,0.0667,0.0342,0.077
0.164832,-0.0030,0.0636,0.0166,0.066
0.168448,-0.0270,0.0700,0.0324,0.082
0.173133,-0.0176,0.0478,0.0550,0.075
0.189220,0.0130,0.0282,0.0442,0.054
0.190336,0.0885,0.0112,0.0239,0.092
0.190861,0.0778,0.0205,0.0298,0.086
0.191975,0.0198,0.0394,0.0380,0.058
0.195425,-0.0211,-0.0536,0.0462,0.074
0.201630,-0.0618,-0.0273,0.0423,0.080
0.206228,-0.1282,-0.0180,0.0122,0.130
0.210622,-0.0755,-0.0729,-0.0177,0.106
0.215336,-0.0255,-0.0393,-0.0306,0.056
0.220811,0.0146,-0.0295,-0.0388,0.051
0.224475,-0.0312,-0.0624,-0.0232,0.074
0.229385,-0.0291,-0.0191,0.0114,0.037
0.233459,-0.0602,0.0000,0.0243,0.065
0.238668,-0.0317,0.0405,0.0371,0.063
0.244240,-0.0652,0.0069,0.0165,0.068
0.249529,0.0369,0.0092,-0.0063,0.039
0.252633,0.0290,0.0282,-0.0287,0.050
0.261719,0.0047,0.0328,-0.0342,0.048
0.262454,-0.0170,0.0681,-0.0133,0.071
0.266761,-0.0742,0.0627,0.0145,0.098
0.272661,-0.0596,0.0547,0.0136,0.082
0.276787,-0.0548,0.0610,0.0032,0.082
0.282057,-0.0357,0.0410,0.0093,0.055
0.287025,-0.0239,0.0188,0.0154,0.034
0.307810,0.0185,0.0229,0.0142,0.033
0.309269,0.0321,-0.0348,0.0175,0.050
0.309976,0.0716,-0.0041,0.0279,0.077
0.310411,0.0609,-0.0164,0.0357,0.072
0.310852,0.0526,-0.0049,0.0314,0.062
0.314794,0.0421,-0.0314,-0.0012,0.053
0.320275,0.0175,-0.0362,-0.0191,0.045
0.325755,0.0501,-0.0719,-0.0579,0.105
0.329026,0.0233,-0.0382,-0.0985,0.108
0.333679,-0.0080,-0.0214,-0.1243,0.126
0.338553,-0.0532,0.0049,-0.1001,0.113
0.346689,-0.0008,-0.0189,-0.0595,0.062
0.348400,0.0036,0.0170,-0.0289,0.034
0.353475,0.0079,0.0265,0.0178,0.033
0.357327,0.0192,-0.0068,0.0424,0.047
0.362642,0.0161,0.0266,0.0121,0.033
0.367825,-0.0226,0.0218,-0.0085,0.033
0.371963,0.0055,0.0503,-0.0336,0.061
0.389426,-0.0093,0.0263,-0.0464,0.054
0.391117,0.0117,0.0215,-0.0589,0.064
0.391726,-0.0125,0.0264,-0.0595,0.066
0.392262,0.0418,0.0123,-0.0695,0.082
0.395038,0.1100,-0.0441,-0.0508,0.129
0.399495,0.0827,-0.0335,-0.0440,0.099
0.404052,0.0272,-0.0134,-0.0203,0.036
0.410704,-0.0324,0.0182,0.0200,0.042
0.413469,-0.0417,0.0114,0.0531,0.068
0.419493,-0.0389,0.0306,0.0385,0.063
0.423404,-0.0195,0.0116,0.0360,0.043
0.428357,-0.0050,-0.0643,0.0525,0.083
0.432710,-0.0430,-0.0210,0.0496,0.069
0.437693,-0.0593,0.0028,0.0703,0.092
0.443415,-0.0519,-0.0282,0.0716,0.093
0.448126,-0.0018,-0.0280,0.0397,0.049
0.451844,-0.0019,0.0101,0.0130,0.017
0.456778,-0.0447,-0.0305,0.0151,0.056
0.461651,-0.0301,-0.0210,-0.0137,0.039
0.465787,-0.0134,0.0123,-0.0399,0.044
0.471788,0.0293,0.0192,-0.0495,0.061
0.481764,0.0003,0.0048,-0.0378,0.038
0.482792,0.0072,0.0286,-0.0380,0.048
0.485911,-0.0548,0.0331,-0.0097,0.065
0.498734,-0.0308,0.0138,0.0089,0.035
0.499739,-0.0093,-0.0126,0.0275,0.032
0.500261,0.0335,0.0040,0.0295,0.045
0.504630,0.0712,-0.0247,-0.0134,0.077
0.508649,0.0518,-0.0340,-0.0439,0.076
0.514066,0.0753,-0.0265,-0.0454,0.092
0.519094,0.0582,0.0023,-0.0421,0.072
0.525843,-0.0037,0.0308,-0.0412,0.052
0.529007,0.0417,0.0259,-0.0070,0.050
0.532009,0.0582,0.0021,-0.0062,0.059
0.537149,0.0532,0.0379,-0.0032,0.065
0.542130,0.0388,-0.0002,0.0449,0.059
0.547985,0.0053,0.0142,0.0970,0.098
0.552426,-0.0470,-0.0025,0.0606,0.077
0.559325,-0.0656,0.0070,0.0006,0.066
0.563397,-0.0105,-0.0214,-0.0162,0.029
0.566795,-0.0058,-0.0068,-0.0186,0.021
0.571236,-0.0058,-0.0066,-0.0092,0.013
0.576591,0.0037,-0.0016,0.0098,0.011
0.580721,0.0108,-0.0346,0.0072,0.037
0.585723,-0.0155,-0.0625,-0.0262,0.069
0.599557,0.0487,-0.0237,-0.0333,0.064
0.600607,0.0388,0.0173,-0.0070,0.043
0.601353,0.0456,-0.0417,-0.0093,0.062
0.604057,0.0192,-0.0075,0.0218,0.030
0.617131,-0.0307,-0.0164,0.0504,0.061
0.618104,-0.0184,0.0269,0.0598,0.068
0.618841,-0.1013,-0.0063,0.0523,0.114
0.622488,-0.0885,0.0414,0.0473,0.109
0.626950,-0.0878,0.0054,0.0327,0.094
0.631295,-0.0847,0.0124,0.0016,0.086
0.636534,-0.0697,-0.0068,-0.0245,0.074
0.642084,-0.0595,-0.0021,-0.0312,0.067
0.647217,-0.0732,0.0237,-0.0283,0.082
0.651801,-0.0345,0.0113,-0.0421,0.056
0.655068,-0.0104,0.0323,-0.0343,0.048
0.661735,0.0682,0.0082,-0.0645,0.094
0.665303,0.0228,0.0128,-0.0160,0.031
0.670800,0.0465,0.0294,0.0107,0.056
0.681700,-0.0060,-0.0279,0.0299,0.041
0.682923,0.0512,-0.0017,0.0324,0.061
0.685411,0.0177,0.0315,0.0183,0.040
0.690269,0.0367,-0.0163,-0.0121,0.042
0.702651,0.0747,0.0360,-0.0327,0.089
0.703434,0.1005,0.0025,-0.0126,0.101
0.703938,0.0716,-0.0070,0.0122,0.073
0.707808,-0.0070,-0.0070,0.0392,0.040
0.712620,-0.0042,0.0168,0.0373,0.041
0.717890,0.0270,0.0285,0.0330,0.051
0.724294,-0.0300,0.0732,0.0071,0.079
0.727914,-0.0176,-0.0011,-0.0018,0.018
0.731140,-0.0338,0.0011,-0.0105,0.035
0.736107,-0.0926,0.0435,0.0069,0.103
0.741643,-0.0821,0.0071,-0.0140,0.084
0.746876,-0.0480,-0.0195,-0.0205,0.056
0.751199,-0.0308,0.0253,0.0039,0.040
0.758005,-0.0470,0.0056,0.0209,0.052
0.761255,-0.0085,-0.0138,0.0188,0.025
0.765899,-0.0059,-0.0281,-0.0071,0.030
0.770321,-0.0175,-0.0305,-0.0065,0.036
0.775077,-0.0385,0.0004,-0.0391,0.055
0.779663,-0.0522,-0.0069,-0.0596,0.080
0.784474,0.0031,-0.0187,-0.0348,0.040
0.799306,-0.0323,0.0052,-0.0077,0.034
0.801475,-0.0008,0.0146,0.0168,0.022
0.802109,0.0304,0.0121,0.0153,0.036
0.803186,0.0971,-0.0021,0.0044,0.097
0.818845,0.0825,0.0146,0.0340,0.090
0.819769,0.0159,-0.0400,0.0470,0.064
