time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001927,-0.0082,0.0227,0.2490,0.250
0.004085,0.0061,0.0466,0.2936,0.297
0.012913,0.0440,0.0515,0.2333,0.243
0.013292,0.0579,0.0374,0.1496,0.165
0.025969,0.0574,0.0094,0.0619,0.085
0.026351,0.0616,0.0006,-0.0015,0.062
0.028400,0.0230,-0.0034,0.0067,0.024
0.031920,0.0228,-0.0170,0.0003,0.028
0.038092,-0.0155,0.0311,-0.1347,0.139
0.043089,-0.1009,0.0881,-0.2733,0.304
0.047945,-0.1287,0.0824,-0.2968,0.334
0.052822,-0.0707,0.0576,-0.2630,0.278
0.057571,-0.0227,0.0471,-0.2197,0.226
0.063281,0.0345,0.0558,-0.1526,0.166
0.070478,0.0627,0.0595,-0.0902,0.125
0.077854,0.1001,0.0682,0.0102,0.122
0.082382,0.1136,0.0625,0.0628,0.144
0.086795,0.1031,0.0617,0.0819,0.145
0.092052,0.0643,0.0610,0.0346,0.095
0.093906,0.0448,0.0460,0.0209,0.068
0.097597,0.0302,0.0312,0.0451,0.063
0.104042,0.0252,0.0120,0.0783,0.083
0.110134,0.0060,0.0310,0.0966,0.102
0.112895,-0.0036,0.0595,0.1191,0.133
0.121725,-0.0416,0.0736,0.1314,0.156
0.126867,-0.0888,0.0922,0.1006,0.163
0.128473,-0.1024,0.0917,0.0554,0.148
0.133214,-0.0826,0.0626,-0.0228,0.106
0.138261,-0.0677,0.0528,-0.1334,0.159
0.144241,-0.0482,0.0336,-0.1952,0.204
0.148800,-0.0478,0.0335,-0.1611,0.171
0.152975,-0.0189,0.0001,-0.0937,0.096
0.157707,0.0335,0.0192,-0.0218,0.044
0.166313,0.0237,0.0333,0.0357,0.054
0.167984,0.0188,0.0281,0.0927,0.099
0.173025,0.0139,0.0040,0.1161,0.117
0.177496,0.0376,0.0038,0.1346,0.140
0.183780,0.0468,-0.0154,0.0961,0.108
0.187829,0.0702,-0.0201,0.1103,0.132
0.193282,0.0744,-0.0058,0.1054,0.129
0.200554,0.0643,-0.0010,0.1099,0.127
0.203883,0.0447,-0.0105,0.0714,0.085
0.212633,0.0396,-0.0056,0.0233,0.046
0.213097,-0.0082,-0.0056,-0.0767,0.077
0.217959,-0.0652,-0.0104,-0.1046,0.124
0.223145,-0.0836,0.0134,-0.0941,0.127
0.229050,-0.0639,0.0180,-0.0363,0.076
0.234336,-0.0349,0.0180,-0.0168,0.043
0.239510,-0.0251,0.0370,0.0121,0.046
0.244946,-0.0343,0.0560,0.0884,0.110
0.251643,-0.0483,0.0558,0.1162,0.138
0.255352,-0.0384,0.0176,0.0915,0.101
0.258844,-0.0096,0.0558,0.0764,0.095
0.263958,0.0095,0.0414,0.0187,0.046
0.271242,0.0142,0.0177,-0.0432,0.049
0.274648,0.0188,0.0274,-0.0333,0.047
0.278180,0.0377,0.0085,-0.0710,0.081
0.284324,0.0469,-0.0102,-0.0847,0.097
0.287958,0.0418,-0.0145,-0.0790,0.091
0.293826,0.0367,-0.0235,-0.1112,0.119
0.300592,0.0554,-0.0277,-0.1047,0.122
0.303431,0.0883,-0.0222,-0.0981,0.134
0.312797,0.0876,-0.0168,-0.0438,0.099
0.313405,0.0537,-0.0067,-0.0137,0.056
