time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000698,0.0055,-0.0127,0.0145,0.020
0.009000,0.0339,0.0131,-0.0509,0.063
0.009436,0.0811,0.0127,-0.0609,0.102
0.013037,0.1018,-0.0020,-0.0826,0.131
0.017981,0.0559,-0.0118,-0.0256,0.063
0.043373,0.0293,-0.0215,0.0047,0.037
0.043824,-0.0398,0.0139,0.0418,0.059
0.044119,-0.0584,0.0419,0.0167,0.074
0.044380,-0.0437,0.0030,0.0039,0.044
0.044623,-0.0409,-0.0118,-0.0017,0.043
0.076924,-0.0002,-0.0098,0.0095,0.014
0.077991,0.0235,-0.0076,-0.0147,0.029
0.078495,0.0234,-0.0125,-0.0221,0.034
0.078896,0.0706,-0.0220,-0.0292,0.080
0.079272,0.0748,-0.0242,-0.0078,0.079
0.079644,0.0386,-0.0454,0.0158,0.062
0.079999,0.0074,-0.0071,0.0319,0.033
0.080342,-0.0022,-0.0047,0.0547,0.055
0.098518,0.0406,-0.0094,0.0459,0.062
0.100817,0.0118,-0.0308,0.0626,0.071
0.101416,-0.0287,-0.0402,0.0951,0.107
0.101939,-0.0569,-0.0377,0.1101,0.130
0.110342,-0.0659,0.0193,0.1127,0.132
0.111078,-0.0653,0.0140,0.1175,0.135
0.131425,-0.0909,-0.0127,0.1199,0.151
0.132922,-0.0284,0.0060,0.1083,0.112
0.133729,0.0099,-0.0396,0.1183,0.125
0.134170,0.0430,-0.0207,0.1898,0.196
0.134529,0.0379,0.0195,0.2320,0.236
0.136238,0.0115,0.0236,0.2543,0.256
0.142948,0.0019,0.0608,0.2618,0.269
0.145578,0.1111,0.0196,0.2832,0.305
0.150852,0.0817,-0.0733,0.1742,0.206
0.156317,0.0312,-0.0726,0.1045,0.131
0.160956,0.1116,-0.0552,0.1210,0.174
0.164876,0.1297,0.0050,0.0827,0.154
0.177304,0.0764,0.0151,0.0894,0.119
0.178251,0.1445,0.0016,0.1926,0.241
0.179018,0.0982,0.1404,0.1091,0.203
0.196612,-0.0095,0.1235,0.1040,0.162
0.198200,-0.1567,0.1160,0.0747,0.209
0.198762,-0.1293,0.1512,0.0142,0.199
0.199188,-0.1402,0.1267,0.1577,0.246
0.204183,-0.1581,-0.0594,0.0338,0.172
0.207213,-0.1307,-0.0898,-0.0370,0.163
0.212259,-0.1297,-0.0250,-0.0929,0.161
0.218743,-0.1050,0.0131,-0.1506,0.184
0.222235,-0.0899,-0.0301,-0.1107,0.146
0.226470,-0.0537,-0.0563,-0.0556,0.096
0.231259,-0.0202,-0.0515,0.1587,0.168
0.236468,-0.0225,-0.0990,0.1372,0.171
0.240501,-0.0653,-0.1272,0.0888,0.168
0.244968,-0.0128,-0.1361,0.1019,0.170
0.252082,0.0559,-0.1041,0.1285,0.175
0.262284,0.1192,-0.0771,0.2086,0.252
0.263276,0.0560,-0.0574,0.2180,0.232
0.263927,-0.0114,-0.0070,0.2968,0.297
0.269444,0.0024,0.0620,0.3657,0.371
0.274349,0.0325,0.0616,0.4222,0.428
0.278349,-0.0612,0.0848,0.4263,0.439
0.284605,-0.1424,0.1170,0.4496,0.486
0.289242,-0.2350,0.1104,0.5342,0.594
0.292563,-0.1964,0.1770,0.5490,0.609
0.297138,-0.2083,0.1763,0.5377,0.603
0.314163,-0.1965,0.0784,0.4448,0.493
0.314780,-0.1849,-0.0731,0.1754,0.265
0.315057,-0.1331,-0.1707,-0.2296,0.316
0.316224,-0.0579,-0.1224,-0.4791,0.498
0.321334,-0.0236,-0.1027,-0.6272,0.636
0.325633,0.0602,-0.0143,-0.6049,0.608
0.330719,0.1266,-0.0024,-0.4764,0.493
0.335371,0.1353,0.0428,-0.2461,0.284
