time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002827,0.0913,0.0168,-0.1336,0.163
0.003308,0.1427,-0.0159,-0.1221,0.188
0.008776,0.1319,-0.0340,-0.0580,0.148
0.012973,0.0927,-0.0186,0.0957,0.135
0.017411,0.0442,-0.0318,0.2285,0.235
0.025859,-0.0038,-0.0544,0.2881,0.293
0.029425,-0.0183,-0.0246,0.3222,0.324
0.033642,-0.0376,-0.0428,0.3926,0.397
0.037973,-0.1090,-0.0611,0.3608,0.382
0.042768,-0.1943,-0.0179,0.2470,0.315
0.050979,-0.2409,0.0006,0.1331,0.275
0.055760,-0.2539,0.0090,0.0390,0.257
0.064937,-0.2716,-0.0021,-0.1253,0.299
0.065468,-0.2796,-0.0134,-0.3920,0.482
0.069062,-0.2495,-0.0295,-0.5221,0.579
0.073491,-0.2195,-0.0171,-0.4693,0.518
0.077937,-0.2134,-0.0000,-0.3352,0.397
0.083114,-0.2359,-0.0115,-0.2065,0.314
0.088929,-0.2060,-0.0466,-0.1405,0.254
0.093015,-0.1097,-0.0243,-0.1317,0.173
0.098480,0.0096,-0.0396,-0.1178,0.125
0.103045,0.1231,-0.0879,-0.1132,0.189
0.108523,0.1835,-0.1494,-0.1178,0.264
0.113241,0.1769,-0.1576,-0.1315,0.271
0.118923,0.1610,-0.1510,-0.1351,0.259
0.125547,0.0882,-0.1344,-0.1195,0.200
0.129013,0.0208,-0.1319,-0.1275,0.185
0.132584,0.0300,-0.1291,-0.1687,0.215
0.138008,0.0248,-0.1212,-0.1810,0.219
0.142779,-0.0182,-0.1178,-0.1457,0.188
0.151865,-0.0752,-0.1143,-0.1109,0.176
0.154351,-0.1222,-0.0492,-0.0907,0.160
0.160302,-0.1451,-0.0322,-0.0330,0.152
0.165049,-0.1915,0.0273,-0.0756,0.208
0.169289,-0.2138,0.0671,-0.1934,0.296
0.174212,-0.2026,0.0827,-0.1954,0.293
0.177920,-0.2105,0.1028,-0.0971,0.254
0.183266,-0.1518,0.1226,-0.0182,0.196
0.188831,-0.0983,0.1566,0.0601,0.194
0.193505,-0.0310,0.1476,0.0951,0.178
0.197984,0.0215,0.1671,0.1202,0.207
0.209125,0.0450,0.1819,0.1355,0.231
0.209644,0.0541,0.2015,0.1314,0.247
0.217312,0.0726,0.2210,0.1504,0.277
0.223084,0.0814,0.2452,0.1498,0.299
0.223543,0.0806,0.2456,0.0964,0.276
0.229963,0.0607,0.2509,0.0195,0.259
0.232322,0.0126,0.2706,-0.0044,0.271
0.238620,-0.0351,0.2806,-0.0369,0.285
0.242445,-0.0634,0.2478,-0.0687,0.265
0.250367,-0.1151,0.2627,0.0144,0.287
0.252623,-0.1189,0.2632,0.1678,0.334
0.259998,-0.1038,0.2681,0.2384,0.374
0.263428,-0.0651,0.2585,0.2506,0.366
0.267914,-0.0791,0.2535,0.2429,0.360
0.274837,-0.0597,0.2580,0.2014,0.333
0.278842,-0.0643,0.2671,0.1643,0.320
0.283326,-0.1117,0.2762,0.0697,0.306
0.288029,-0.1729,0.2853,-0.0955,0.347
0.293305,-0.1291,0.3466,-0.1355,0.394
