time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003061,-0.1854,-0.2875,-0.7976,0.868
0.003577,-0.1696,-0.2862,-0.5699,0.660
0.003872,-0.1968,-0.2900,-0.2822,0.450
0.012149,-0.2522,-0.1942,0.0362,0.320
0.014364,-0.1931,-0.1137,0.2136,0.310
0.020762,-0.0015,-0.0387,0.4458,0.447
0.024871,0.0506,0.0644,0.6264,0.632
0.030860,0.0025,0.1902,0.5942,0.624
0.039414,-0.0975,0.3003,0.4368,0.539
0.040993,-0.2395,0.3613,0.2604,0.506
0.044324,-0.4089,0.4160,0.0747,0.588
0.049391,-0.4962,0.3363,-0.1248,0.612
0.054390,-0.5304,0.2563,-0.3561,0.688
0.059979,-0.4979,0.1620,-0.4949,0.720
0.064920,-0.3707,0.0397,-0.5745,0.685
0.070323,-0.2016,-0.0907,-0.5617,0.604
0.074627,-0.0007,-0.2380,-0.4858,0.541
0.080196,0.0227,-0.2735,-0.3806,0.469
0.085190,0.0223,-0.2270,-0.3512,0.419
0.090182,0.0219,-0.1518,-0.3354,0.369
0.094832,0.0215,-0.1720,-0.3756,0.414
0.100807,0.1067,-0.2155,-0.3626,0.435
0.105525,0.2435,-0.2535,-0.3300,0.482
0.111475,0.2651,-0.2146,-0.2638,0.431
0.115368,0.1868,-0.1046,-0.1458,0.259
0.121416,0.2564,-0.0474,0.0284,0.262
0.124551,0.4014,-0.0711,0.2390,0.473
0.130106,0.4502,-0.0654,0.4191,0.619
0.134928,0.3037,0.0400,0.5213,0.605
0.140929,0.0540,0.1631,0.5177,0.545
0.144897,-0.0417,0.2417,0.4425,0.506
0.149374,-0.0462,0.1907,0.3205,0.376
0.155438,-0.0175,0.0921,0.2333,0.251
0.160392,0.0253,0.0514,0.1853,0.194
0.165078,0.0914,0.0443,0.0526,0.114
0.170107,0.1666,0.0374,-0.0976,0.197
0.178422,0.1604,0.0025,-0.2796,0.322
0.181377,0.0639,-0.0650,-0.4262,0.436
0.186017,-0.0317,-0.0841,-0.4520,0.461
0.190124,-0.0837,-0.0603,-0.4392,0.451
0.194933,-0.1210,-0.0178,-0.3927,0.411
0.201982,-0.0820,0.0241,-0.2656,0.279
0.204730,-0.0528,0.0703,-0.1302,0.157
0.210308,-0.0191,0.0872,0.0559,0.105
0.214655,0.0476,0.1085,0.2537,0.280
0.221497,0.0328,0.1201,0.4008,0.420
0.227926,-0.0627,0.1125,0.3788,0.400
0.230140,-0.1527,0.1285,0.2894,0.352
0.236638,-0.2657,0.1298,0.2288,0.374
0.240965,-0.3731,0.1022,0.1734,0.424
0.253110,-0.3607,0.0793,0.1045,0.384
0.253512,-0.3105,0.0519,0.0507,0.319
0.258759,-0.1989,0.0105,-0.0494,0.205
0.264767,-0.0406,-0.0918,-0.1051,0.145
0.265191,0.0356,-0.1735,-0.1453,0.229
0.269999,0.1017,-0.1920,-0.1513,0.265
0.275311,0.0912,-0.1478,-0.1330,0.219
0.281417,0.0619,-0.0941,-0.1811,0.213
0.285338,-0.0052,-0.0028,-0.2095,0.210
0.289655,-0.0195,-0.0026,-0.1378,0.139
0.294958,0.0329,-0.0169,-0.1047,0.111
0.302077,0.0420,-0.0265,0.0038,0.050
0.304847,0.0606,0.0163,0.1111,0.128
0.310928,0.0837,0.0445,0.1459,0.174
0.315498,0.0829,0.0201,0.1567,0.178
0.321790,0.0299,0.0102,0.1012,0.106
0.327445,-0.0132,0.0194,0.0135,0.027
0.330276,-0.0369,0.0383,-0.1061,0.119
0.336815,-0.0603,0.0288,-0.2286,0.238
0.340255,-0.1073,0.0672,-0.2782,0.306
0.347162,-0.1254,0.1290,-0.2748,0.328
0.352486,-0.1955,0.2375,-0.2478,0.395
0.355449,-0.2794,0.3490,-0.1313,0.466
0.360787,-0.2629,0.3350,0.0498,0.429
0.365430,-0.2085,0.2347,0.1713,0.358
0.370658,-0.1784,0.1300,0.1103,0.247
0.375599,-0.1486,0.0543,0.0776,0.176
0.381659,-0.1095,0.0028,0.1348,0.174
0.385697,-0.1374,-0.0245,0.1342,0.194
0.391106,-0.1365,-0.0516,0.1382,0.201
0.395802,-0.0833,-0.0592,0.1565,0.187
0.402457,-0.0449,-0.0763,0.1603,0.183
0.405736,0.0265,-0.0881,0.1595,0.184
0.410273,0.0403,-0.0947,0.1306,0.166
0.414538,-0.0030,-0.0534,0.0359,0.064
0.421181,-0.0506,-0.0411,0.0089,0.066
0.427504,-0.0076,-0.0432,0.0202,0.048
0.430151,0.0540,-0.0883,0.0313,0.108
