time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002224,-0.1872,-0.0646,0.8193,0.843
0.002730,-0.0478,-0.1444,0.7455,0.761
0.008192,0.0904,-0.1185,0.5293,0.550
0.012578,0.1467,-0.0546,0.2953,0.334
0.016841,0.1598,0.0185,0.1432,0.215
0.022938,0.1728,0.0577,0.0062,0.182
0.029788,0.1286,0.1107,-0.1059,0.200
0.032881,0.0753,0.1583,-0.2545,0.309
0.039513,-0.0583,0.2149,-0.2447,0.331
0.043464,-0.1529,0.2135,-0.2639,0.372
0.048763,-0.1612,0.1784,-0.3266,0.406
0.051966,-0.2027,0.1429,-0.4703,0.532
0.057979,-0.1822,0.1262,-0.5367,0.581
0.063655,-0.1001,0.1614,-0.5208,0.554
0.070984,0.0811,0.1819,-0.0863,0.217
0.073519,0.2941,0.0502,0.1114,0.318
0.078842,0.3390,-0.0940,0.3776,0.516
0.082882,0.2600,0.0006,0.2366,0.352
0.087612,0.1721,0.1467,0.0344,0.229
0.092618,0.0944,0.2863,-0.0766,0.311
0.097772,0.2738,0.1869,-0.0692,0.339
0.102652,0.2997,0.1601,-0.0393,0.342
0.108228,0.2114,0.1481,-0.1289,0.289
0.113170,0.1239,0.1797,-0.2220,0.311
0.120534,0.0990,0.2356,-0.2850,0.383
0.123623,0.0363,0.3728,-0.3713,0.527
0.129051,-0.1019,0.3574,-0.4625,0.593
0.132843,-0.2199,0.3805,-0.5115,0.674
0.138497,-0.2657,0.2422,-0.4659,0.588
0.142438,-0.3729,0.3902,-0.3637,0.651
0.149108,-0.4032,0.4226,-0.2907,0.652
0.152864,-0.3334,0.2840,-0.0657,0.443
0.157953,-0.6918,-0.1053,0.0015,0.700
0.162884,-0.6197,-0.2411,0.2219,0.701
0.168819,0.0124,0.2611,0.4547,0.524
0.173874,-0.0354,0.1078,0.2907,0.312
0.178262,0.1641,0.0355,0.4036,0.437
0.185109,0.3334,0.0483,0.5954,0.684
0.190536,0.3110,0.0931,0.5419,0.632
0.195734,0.2317,0.0981,0.4687,0.532
0.197587,0.2052,-0.0024,0.6327,0.665
0.204155,0.1122,-0.1311,0.9926,1.008
