time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007021,-0.6456,1.2757,-3.4065,3.694
0.008393,-0.4603,1.3182,-3.5270,3.793
0.009310,-0.2990,1.3435,-3.4835,3.746
0.010169,-0.1810,1.2704,-3.3625,3.599
0.010639,-0.2070,1.0392,-3.1975,3.369
0.016874,-0.2410,0.8671,-3.0698,3.199
0.020538,-0.3245,0.8060,-2.8645,2.993
0.037670,-0.4416,0.7688,-2.5867,2.734
0.038619,-0.5286,0.7840,-2.4274,2.605
0.039257,-0.6601,0.8295,-2.4172,2.639
0.039878,-0.7842,0.8788,-2.3672,2.644
0.041809,-0.8079,0.9530,-2.2867,2.606
0.050658,-0.9060,1.0157,-2.1663,2.558
0.053208,-0.9184,1.0786,-2.0727,2.511
0.067849,-0.9979,1.0915,-2.0557,2.532
0.069008,-1.1348,1.1138,-2.0124,2.565
0.069819,-1.1926,1.1622,-1.9619,2.573
0.070953,-1.3197,1.1816,-1.8565,2.566
0.075108,-1.3819,1.1720,-1.7725,2.535
0.080487,-1.4804,1.0880,-1.6504,2.470
0.084694,-1.6040,1.0796,-1.4355,2.408
0.091003,-1.7053,1.0029,-1.2686,2.350
0.094358,-1.6606,0.9461,-1.0422,2.177
0.099746,-1.6374,0.8180,-0.8757,2.029
0.103420,-1.6098,0.7429,-0.7784,1.936
0.109547,-1.5325,0.5938,-0.6308,1.760
0.113127,-1.4989,0.4685,-0.4640,1.637
0.118443,-1.4895,0.3669,-0.3805,1.581
0.124675,-1.5086,0.2339,-0.3895,1.576
0.129203,-1.4506,0.1150,-0.4573,1.525
0.132069,-1.3243,-0.0063,-0.6144,1.460
0.137508,-1.2366,-0.0558,-0.8058,1.477
0.143956,-1.0435,-0.1694,-1.0263,1.473
0.147162,-0.5730,-0.5921,-1.2261,1.477
0.151366,-0.2814,-0.8019,-1.4675,1.696
0.158059,-0.0789,-0.8897,-1.7097,1.929
0.160651,0.0408,-0.7018,-1.9363,2.060
0.169130,0.1596,-0.4866,-2.1571,2.217
0.170488,0.4578,-0.3605,-2.3267,2.399
0.179444,0.7358,-0.2676,-2.6052,2.720
0.180556,1.0870,-0.1332,-2.7559,2.966
0.184104,1.4035,0.0121,-2.7917,3.125
0.189004,1.6654,0.2804,-2.6604,3.151
0.193869,1.8143,0.5018,-2.3984,3.049
0.198621,1.8659,0.7498,-2.0088,2.842
0.204964,1.8817,0.9739,-1.7616,2.755
0.209078,1.8301,1.1551,-1.6301,2.709
0.213326,1.7608,1.3481,-1.3872,2.616
0.217351,1.5112,1.4211,-1.1406,2.367
0.223553,1.3112,1.4885,-0.8470,2.157
0.226909,1.1491,1.5570,-0.5825,2.021
0.231473,0.8459,1.7477,-0.4901,2.003
0.236479,0.3593,1.8405,-0.5547,1.956
0.243150,-0.0924,1.9544,-0.6847,2.073
0.246137,-0.4968,2.0531,-0.8056,2.261
0.250782,-0.8092,1.9622,-0.9286,2.317
0.266401,-1.6290,1.1690,-2.4859,3.194
0.267587,-1.7183,0.5870,-2.1780,2.836
0.268179,-1.3204,1.0834,2.6617,3.163
0.269282,-1.3516,1.2657,4.1265,4.523
0.274130,-1.4534,1.2359,3.4115,3.909
0.280630,-1.3154,1.1815,2.1576,2.790
0.283741,-1.1823,1.1382,1.5375,2.249
0.288623,-0.8882,1.0049,1.3709,1.918
0.293367,-0.4899,0.9746,1.3155,1.709
0.299055,-0.1211,0.9034,1.3594,1.637
0.302933,0.1257,0.8216,1.4594,1.679
0.307759,0.3132,0.6572,1.5489,1.711
0.312064,0.5154,0.3912,1.7759,1.890
